name,address,phone,principal,grades,division
Edison High School Academy,"5801 Franconia Rd, Alexandria, VA 22310",703-924-8000, ,,Fairfax County Public Schools
Edward E. Drew Jr. Middle,"501 Cambridge St, Falmouth, VA 22405",540-371-1415,Ms. Tammara M. Hanna,6-8,Stafford County Public Schools
Edward G. Clymore Elementary,"184 Fort Defiance Rd, Fort Defiance, VA 24437",540-245-5043,Mrs. Jane Wright,PK-5,Augusta County Public Schools
Edward W. Wyatt Middle,"206 Slagles Lake Rd, Emporia, VA 23847-8007",434-634-5159,Mr. Noah Rogers,5-8,Greensville County Public Schools
Edwin A. Gibson Elementary School,"1215 Industrial Avenue, Danville, VA 24541",434-799-6426,Mrs. Kimberly K. Agnor,KG-5,Danville Public Schools
Edwin W. Chittum Elementary,"2008 Dock Landing Rd, Chesapeake, VA 23321",757-465-6300,Mrs. Sharon W. Miles,PK-5,Chesapeake Public Schools
Elephant's Fork Elementary,"2316 William Reid Dr, Suffolk, VA 23434",757-923-5250,Mr. Andre Skinner,PK-5,Suffolk Public Schools
Elizabeth D. Redd Elementary,"5601 Jahnke Rd, Richmond, VA 23225-2829",804-780-5061,Mrs. Sherry Wharton-Carey,PK-5,Richmond Public Schools
Elizabeth Davis Middle,"601 Corvus Court, Chester, VA 23836",804-541-4700,Dr. Tameshia V Grimes,6-8,Chesterfield County Public Schools
Elizabeth Holladay Elementary,"7300 Galaxie Rd, Richmond, VA 23228",804-261-5040,Ms. Kimberly A. Olsen,PK-5,Henrico County Public Schools
Elizabeth Scott Elementary,"813 Beginners Trail Loop, Chester, VA 23836",804-541-4660,Joan Temple,KG-5,Chesterfield County Public Schools
Elizabeth Vaughan Elementary,"2200 York Dr, Woodbridge, VA 22191",703-494-3220,Glynis Taylor,PK-5,Prince William County Public Schools
Elk Knob Elementary,"148 Hornet Loop, Pennington Gap, VA 24277",276-546-1837,Ms. Lisa Willis,PK-5,Lee County Public Schools
Elkhardt Middle,"6300 Hull Street Rd, Richmond, VA 23224-2632",804-745-3600,Mr. Eric Jones,6-8,Richmond Public Schools
Elko Middle,"5901 Elko Road, Sandston, VA 23150",804-328-4110,Ms. Cheryl L. Guempel,6-8,Henrico County Public Schools
Elkton Elementary,"302 B Street, Elkton, VA 22827",540-298-1511,Mr. Robert Dansey,PK-5,Rockingham County Public Schools
Elkton Middle,"21063 Blue And Gold Dr, Elkton, VA 22827",540-298-1228,Dr. Ramona R. Pence,6-8,Rockingham County Public Schools
Elmont Elementary,"12007 Cedar Lane, Ashland, VA 23005",804-365-8100,Mr. Larry W. Hardy,PK-5,Hanover County Public Schools
Elon Elementary,"147 Younger Dr, Madison Heights, VA 24572",434-528-6496,Kimberly L Anderson,PK-5,Amherst County Public Schools
Elydale Elementary,"128 Elydale Road, Ewing, VA 24248",276-445-4439,Ms. Tara E. Williams,5-7,Lee County Public Schools
Emerald Hill Elementary,"11245 Rixeyville Rd, Culpeper, VA 22701",540-937-7361,Mrs. Renee Wootten,PK-5,Culpeper County Public Schools
Emerick Elementary,"440 S Nursery Ave, Purcellville, VA 20132",540-571-2440,Mrs. Dawn E. Haddock,PK-5,Loudoun County Public Schools
Emily Spong Preschool Center,"2200 Piedmont Ave., Portsmouth, VA 23704-5408",757-393-5247,Mrs. Venessa P Whichard-Harris,PK,Portsmouth Public Schools
Empowerment Academy,"5915 Nine Mile Road, Henrico, Virginia, VA 23223",804-328-4280, ,,Henrico County Public Schools
Enderly Heights Elementary,"101 Woodland Ave, Buena Vista, VA 24416",540-261-6151,Christy Harris,2-4,Buena Vista Public Schools
Enon Elementary,"2001 E. Hundred Rd., Chester, VA 23836-3503",804-530-5720,Mr. Michael Crusco,PK-5,Chesterfield County Public Schools
Enterprise Elementary,"13900 Lindendale Rd, Woodbridge, VA 22193",703-590-1558,Ms. Melanie McClure,PK-5,Prince William County Public Schools
Ervinton Elementary,"195 Ervinton Circle, Nora, VA 24272-0519",276-835-8423,Mr. Dennis Deel,PK-8,Dickenson County Public Schools
Essex High,"833 High School Circle, Tappahannock, VA 22560",804-443-4301,Ms. Angela Mosley,9-12,Essex County Public Schools
Essex Intermediate,"912 Intermediate School Circle, Tappahannock, VA 22560",804-443-3040,Mrs. Angela Gross,5-8,Essex County Public Schools
Ethel M. Gildersleeve Middle,"1 Minton Dr, Newport News, VA 23606",757-591-4862,Ms. Courtney Mompoint,6-8,Newport News Public Schools
Ettrick Elementary,"20910 Chesterfield Ave., Ettrick, VA 23803-1904",804-520-6005,Teressa Clary,PK-5,Chesterfield County Public Schools
Eureka Elementary,"315 Eureka School Rd, Keysville, VA 23947",434-736-8458,Mr. W. Brian Hamilton,KG-5,Charlotte County Public Schools
Evendale Elementary,"220 Rosa Lane, Winchester, VA 22602",540-662-0531,Mrs. Sue Ellen Gossard,KG-5,Frederick County Public Schools
Evening School of Excellence,"2204 Mountain Rd., Glen Allen, VA 23060",804-652-3717, ,,Henrico County Public Schools
Evergreen Elementary,"1701 Evergreen East Pkwy., Midlothian, VA 23114",804-378-2400,Mr. Matthew Maher,PK-5,Chesterfield County Public Schools
Evergreen Mill Elementary,"491 Evergreen Mill Rd SE, Leesburg, VA 20175",571-252-2900,Mr. Michael A. Pellegrino,PK-5,Loudoun County Public Schools
F.W. Kling Jr. Elementary,"3400 Lombardy Ave, Buena Vista, VA 24416",540-261-6717,Sherrie Wheeler,KG-1,Buena Vista Public Schools
Fair Oaks Elementary,"201 Jennings Rd, Highland Springs, VA 23075",804-328-4085,Mrs. Pamela E. Harvey,PK-5,Henrico County Public Schools
Fairfax County Adult High,"4105 Whitacre Rd, Room T108, Fairfax, VA 22032",703-503-6407,Ms. Jane Cruz,9-12,Fairfax County Public Schools
Fairfax High,"3501 Rebel Run, Fairfax, VA 22030",703-219-2200,Mr. David M Goldfarb,9-12,Fairfax County Public Schools
Fairfax High School Academy,"3501 Rebel Run, Fairfax, VA 22030",703-219-2200, ,,Fairfax County Public Schools
Fairfax Villa Elementary,"10900 Santa Clara Dr, Fairfax, VA 22030",703-267-2800,Ms. Gail Kinsey,PK-6,Fairfax County Public Schools
Fairfield Court Elementary,"2510 Phaup St, Richmond, VA 23223-4199",804-780-4639,Craig Mayo,PK-5,Richmond Public Schools
Fairfield Elementary,"5428 Providence Rd, Virginia Beach, VA 23464",757-648-2480,Mr. Douglas Knapp,PK-5,Virginia Beach Public Schools
Fairfield Elementary School,"20 Fairfield School Rd, Fairfield, VA 24435",540-348-5202,Ms. Vicki W. Stevens,PK-5,Rockbridge County Public Schools
Fairfield Middle,"5121 Nine Mile Rd, Richmond, VA 23223",804-328-4020,Mr. Arthur G. Raymond,6-8,Henrico County Public Schools
Fairhill Elementary,"3001 Chichester Ln, Fairfax, VA 22031",703-208-8100,Ms. Pamela Clayborne-Morgan,PK-6,Fairfax County Public Schools
Fairlawn Elementary,"1132 Wade St, Norfolk, VA 23502",757-892-3260,Ms. Michele Logan,PK-5,Norfolk Public Schools
Fairview Elementary,"5815 Ox Rd, Fairfax Station, VA 22039",703-503-3700,Ms. Lynn A Mayer,PK-6,Fairfax County Public Schools
Fairview Elementary,"2323 Fairview Rd, Galax, VA 24333",276-236-2365,Mr. Michael Reavis,KG-5,Grayson County Public Schools
Fairview Elementary,"648 Westwood Blvd NW, Roanoke, VA 24017",540-853-2978,Ms. April Plympton,PK-5,Roanoke Public Schools
Falling Branch Elementary,"735 Falling Branch Rd, Christiansburg, VA 24073",540-381-6145,Ms. Julie Vanidestine,PK-5,Montgomery County Public Schools
Falling Creek Elementary,"4800 Hopkins Rd., Richmond, VA 23234-3659",804-743-3630,Pam Johnson,PK-5,Chesterfield County Public Schools
Falling Creek Middle,"4724 Hopkins Rd., Richmond, VA 23234-3657",804-743-3640,Melanie Knowles,6-8,Chesterfield County Public Schools
Fallon Park Elementary,"502 19th St SE, Roanoke, VA 24013",540-853-2535,Ms. Cindy Delp,PK-5,Roanoke Public Schools
Falls Church E.C. Resource Ctr.,"7521 Jaguar Trail, Falls Church, VA 22042",703-207-4000, ,PK,Fairfax County Public Schools
Falls Church High,"7521 Jaguar Trail, Falls Church, VA 22042",703-207-4000,Mr. Michael Yohe,9-12,Fairfax County Public Schools
Falls Church High School Academy,"7521 Jaguar Trail, Falls Church, VA 22042",703-207-4000, ,,Fairfax County Public Schools
Falmouth Elementary,"1000 Forbes St, Falmouth, VA 22405",540-373-7458,Mrs. Gayle J. Thyrring,PK-5,Stafford County Public Schools
Family Education Center For Parenting Teens,"1644 N. McKinley Rd #2, Arlington, VA 22205",703-228-2700, ,,Arlington County Public Schools
Fancy Gap Elementary School,"63 Winding Ridge Rd, Fancy Gap, VA 24328",276-728-7504,Dr. Jeanne D. Edwards,PK-5,Carroll County Public Schools
Fannie W. Fitzgerald Elementary,"15500 Benita Fitzgerald Drive, Woodbridge, VA 22193",703-583-4195,Ms. Bridget Outlaw,PK-5,Prince William County Public Schools
Farmington Elementary,"500 Sunset Ln, Culpeper, VA 22701",540-825-0713,Mrs. Gail R. Brewer,PK-5,Culpeper County Public Schools
Farmwell Station Middle,"44281 Gloucester Pkwy, Ashburn, VA 20147",571-252-2320,Ms. Sherryl D. Loya,6-8,Loudoun County Public Schools
Fauquier High,"705 Waterloo Rd, Warrenton, VA 20186",540-347-6100,Mr. Roger A. Sites,9-12,Fauquier County Public Schools
Featherstone Elementary,"14805 Blackburn Rd, Woodbridge, VA 22191",703-491-1156,Mr. Felicia Norwood,PK-5,Prince William County Public Schools
Ferrum Elementary,"660 Ferrum School Rd, Ferrum, VA 24088",540-365-7194,Mrs. Jennifer Talley,PK-5,Franklin County Public Schools
Ferry Farm Elementary,"20 Pendleton Rd, Fredericksburg, VA 22405",540-373-7366,Mr. Robert D. Freeman,PK-5,Stafford County Public Schools
Fieldale-Collinsville Middle,"645 Miles Road, Collinsville, VA 24078",276-647-3841,Mrs. Wendy S. Durham,6-8,Henry County Public Schools
First Colonial High,"1272 Mill Dam Rd, Virginia Beach, VA 23454-2322",757-648-5300,Dr. Nancy Farrell,9-12,Virginia Beach Public Schools
Fishburn Park Elementary,"3057 Colonial Ave SW, Roanoke, VA 24015",540-853-2931,Ms. Judy Lackey,PK-5,Roanoke Public Schools
Flat Rock Elementary,"2210 Batterson Road, Powhatan, VA 23139",804-598-5743,Mrs. Tanja Nelson,PK-4,Powhatan County Public Schools
Flatwoods Elementary,"205 Flatwoods School Road, Jonesville, VA 24263",276-346-2799,Dr. Renia Clark,PK-5,Lee County Public Schools
"Flint Hill Elementary</strong>br/>Street address:, 2444 Flint Hill Rd, Vienna, VA 22181",703-242-6100,Mr. Salvador Rivera,PK-6,Fairfax County Public Schools,
Florence Bowser Elementary,"4540 Nansemond Pkwy, Suffolk, VA 23435",757-923-4164, ,PK-1,Suffolk Public Schools
Floris Elementary,"2708 Centreville Rd, Herndon, VA 20171-3599",703-561-2900,Ms. Gail Porter,PK-6,Fairfax County Public Schools
Floyd County High,"721 Baker St. SW, Floyd, VA 24091",540-745-9450,Mr. Tony Deibler,8-12,Floyd County Public Schools
Floyd Elementary,"531 Oak Hill Drive, Floyd, VA 24091",540-745-9440,Mrs. Jill Lane,PK-7,Floyd County Public Schools
Floyd Kellam High,"2323 Holland Rd, Virginia Beach, VA 23456-3599",757-648-5400,Mr. Bruce A. Biehl,9-12,Virginia Beach Public Schools
Floyd T. Binns Middle,"205 Grandview Ave., Culpeper, VA 22201",540-829-6894,Mrs. Sherri Harkness,6-8,Culpeper County Public Schools
Fluvanna County High,"1918 Thomas Jefferson Parkway, Palmyra, VA 22963",434-589-3666,Mr. James H. Barlow Jr.,8-12,Fluvanna County Public Schools
Fluvanna Middle,"3717 Central Plains Road, Palmyra, VA 22963",434-510-1000,Dr. Yardley Farquharson,5-7,Fluvanna County Public Schools
Forest Edge Elementary,"1501 Beacontree Ln, Reston, VA 20190",703-925-8000,Ms. Kim Price,PK-6,Fairfax County Public Schools
Forest Elementary,"One Scholar Lane, Forest, VA 24551",434-525-2681,Mrs. Lorri B. Manley,KG-5,Bedford County Public Schools
Forest Glen Middle,"200 Forest Glen Dr, Suffolk, VA 23434",757-925-5780,Mr. Melvin Bradshaw,6-8,Suffolk Public Schools
Forest Grove Elementary,"46245 Forest Ridge Dr., Sterling, VA 20164",703-434-4560,Mr. Lance C. Pace,PK-5,Loudoun County Public Schools
Forest Hills Elementary,"155 Mountain View Ave, Danville, VA 24541",434-799-6430,Ms. Catherine Lassiter,KG-5,Danville Public Schools
Forest Middle,"100 Ashwood Dr, Forest, VA 24551",434-525-6630,Mr. Scott Simmons,6-8,Bedford County Public Schools
Forest Park Academy,"2730 Melrose Avenue, NW, Roanoke, VA 24017",540-853-2923,Mr. Eric Anderson,,Roanoke Public Schools
Forest Park High,"15721 Forest Park Drive, Woodbridge, VA 22193",703-583-3200,Eric V. Brent,9-12,Prince William County Public Schools
Forestdale Elementary,"6530 Elder Ave, Springfield, VA 22150",703-313-4300,Ms. Cheryl A Toth,PK-6,Fairfax County Public Schools
Forestville Elementary,"1085 Utterback Store Rd, Great Falls, VA 22066",703-404-6000,Mr. Todd Franklin,PK-6,Fairfax County Public Schools
Fort Belvoir Elementary,"5970 Meeres Rd, Fort Belvoir, VA 22060",703-781-2700,Mrs. Theresa Carhart,PK-6,Fairfax County Public Schools
Fort Blackmore Primary,"214 Big Stoney Creek Road, Fort Blackmore, VA 24250",276-995-2471,Mrs. Jennifer Meade,KG-3,Scott County Public Schools
Fort Chiswell High,"#1 Pioneer Trail, Max Meadows, VA 24360",276-637-3711,Mr. Robbie T. Patton,9-12,Wythe County Public Schools
Fort Chiswell Middle,"101 Pioneer Trail, Max Meadows, VA 24360",276-637-4400,Mr. David Brett Booher,6-8,Wythe County Public Schools
Fort Defiance High,"195 Fort Defiance Rd, Fort Defiance, VA 24437",540-245-5050,Mr. Larry K. Landes,9-12,Augusta County Public Schools
Fort Hunt Elementary,"8832 Linton Ln, Alexandria, VA 22308",703-619-2600,Ms. Barbara A. Leibbrandt,PK-6,Fairfax County Public Schools
Fort Lewis Elementary,"3115 West Main St, Salem, VA 24153",540-387-6594,Ms. Cindy Klimaitis,PK-5,Roanoke County Public Schools
Fox Mill Elementary,"2611 Viking Dr, Herndon, VA 20171-2498",703-262-2700,Ms. Mie O Devers,PK-6,Fairfax County Public Schools
Frances Hazel Reid Elementary,"800 N. King St., Leesburg, VA 20176",571-252-2050,Brenda Jochems,PK-5,Loudoun County Public Schools
Francis Asbury Elementary,"140 Beach Rd, Hampton, VA 23664",757-850-5075,Ms. Susan K. Johnson,KG-5,Hampton Public Schools
Francis C. Hammond Middle,"4646 Seminary Rd, Alexandria, VA 22304",703-461-4100,DeBerry Goodwin,6-8,Alexandria Public Schools
Francis Hammond 2 Middle,"4646 Seminary Road, Alexandria, VA 22304",703-461-4100,Jason Sutton,6-8,Alexandria Public Schools
Francis Hammond 3 Middle,"4646 Seminary Road, Alexandria, VA 22304",703-461-4100,Andrea Sparks-Brown,6-8,Alexandria Public Schools
Francis Scott Key Elementary,"2300 Key Blvd, Arlington, VA 22201",703-228-4210,Dr. Marjorie Myers,PK-5,Arlington County Public Schools
Francis W. Jones Magnet Middle,"1819 Nickerson Blvd, Hampton, VA 23663",757-850-7900,Dr. Daniel L. Bowling,6-8,Hampton Public Schools
Franconia Elementary,"6301 Beulah St, Alexandria, VA 22310",703-822-2200,Ms. Merrell Dade,PK-6,Fairfax County Public Schools
Frank W. Cox High,"2425 Shorehaven Dr, Virginia Beach, VA 23454-1749",757-648-5250,Dr. Randi R. Riesbeck,9-12,Virginia Beach Public Schools
Franklin County High School,"700 Tanyard Rd, Rocky Mount, VA 24151",540-483-0221,Ms. Debora L. Decker,9-12,Franklin County Public Schools
Franklin High,"310 Crescent Dr, Franklin, VA 23851-2399",757-562-5187,Mr. Travis Felts,9-12,Franklin Public Schools
Franklin Middle,"3300 Lees Corner Rd, Chantilly, VA 20151-3100",703-904-5100,Ms. Sharon L. Eisenberg,7-8,Fairfax County Public Schools
Franklin Military Academy,"701 North 37th Street, Richmond, VA 23223",804-780-4968,Mrs. Sheron Carter-Gunter,6-12,Richmond Public Schools
Fred D. Thompson Middle,"7824 Forest Hill Ave, Richmond, VA 23225-1999",804-272-7554,Rickie Hopkins,6-8,Richmond Public Schools
Fred M. Lynn Middle,"1650 Prince William Parkway, Woodbridge, VA 22191",703-494-5157,Mr. Jorge Neves,6-8,Prince William County Public Schools
Frederick County Middle,"441 Linden Dr, Winchester, VA 22601",540-667-4233,Ms. Susan Brinkmeier,6-8,Frederick County Public Schools
Frederick Douglass Elementary,"510 Principal Drummond Way, SE, Leesburg, VA 20175",571-252-1920,Mr. Timothy Martino,PK-5,Loudoun County Public Schools
Frederick Douglass Elementary,"100 Cedarmeade Ave, Winchester, VA 22601",540-662-7656,Stephanie Downey,KG-4,Winchester Public Schools
Freedom High,"25450 Riding Center Drive, South Riding, VA 20152",703-957-4300,Douglas Fulton,9-12,Loudoun County Public Schools
Freedom High,"15201 Neabsco Mills Rd., Woodbridge, VA 22191",703-583-1405,Inez Bryant,9-12,Prince William County Public Schools
Freedom Hill Elementary,"1945 Lord Fairfax Rd, Vienna, VA 22182",703-506-7800,Mr. Scott E. Bloom,PK-6,Fairfax County Public Schools
Freedom Middle,"7315 Smith Station Rd., Fredericksburg, VA 22407",540-548-1030,Mr. Alan C. Jacobs,6-8,Spotsylvania County Public Schools
Fresh Start Center,"23190 Sedley Road, Franklin, VA 23851",757-562-2903, ,,Southampton County Public Schools
Fries School,"114 E Main St, Fries, VA 24330",276-744-7201,Mrs. Elizabeth Brown,PK-7,Grayson County Public Schools
Frost Middle,"4101 Pickett Rd, Fairfax, VA 22032",703-426-5700,Ms. Marti Jackson,7-8,Fairfax County Public Schools
Fulks Run Elementary,"11089 Brocks Gap Rd, Fulks Run, VA 22830",540-896-7635,Dr. C. David Wenger,PK-5,Rockingham County Public Schools
G.A. Treakle Elementary,"2500 Gilmerton Rd, Chesapeake, VA 23323",757-558-5361,Mrs. Shelia Johnson,PK-5,Chesapeake Public Schools
G.H. Reid Elementary,"1301 Whitehead Rd, Richmond, VA 23225-7299",804-745-3550,Mr. Vincent Darby,PK-5,Richmond Public Schools
G.L.H. Johnson Elementary,"680 Arnett Blvd, Danville, VA 24540",434-799-6433,Mrs. Tonya Jackson,KG-5,Danville Public Schools
G.W. Carver Elementary,"6 Fourth St, Salem, VA 24153-5079",540-387-2492,"Dr. Joseph T, Coleman",KG-5,Salem Public Schools
Gainesboro Elementary,"4651 N Frederick Pike, Winchester, VA 22603",540-888-4550,Mrs. Kathleen M Weiss,KG-5,Frederick County Public Schools
Gainesville Middle,"8001 Limestone Dr, Gainesville, VA 20155",703-753-1702,Dr. Sally E. MacLean,6-8,Prince William County Public Schools
Galax Elementary,"225 Academy Drive, Galax, VA 24333",276-236-6159,Charles Brian Stuart,KG-4,Galax Public Schools
Galax High,"200 Maroon Tide Dr, Galax, VA 24333",276-236-2991,Mr. Justin P. Iroler,8-12,Galax Public Schools
Galax Middle,"202 Maroon Tide Dr, Galax, VA 24333",276-236-6124,Mrs. Kristina C. Legg,5-7,Galax Public Schools
Galbreath-Marshall Building,"1401 Old Fredericksburg Rd., Culpeper, VA 22701",540-825-3677, ,PK,Culpeper County Public Schools
Galileo Magnet High,"230 S. Ridge St., Danville, VA 24541",434-773-8186,Mr. William J. Lancaster,9-12,Danville Public Schools
Garden City Elementary,"3718 Garden City Blvd SE, Roanoke, VA 24014",540-853-2971,Ms. Rebecah Smith,PK-5,Roanoke Public Schools
Garfield Elementary,"7101 Old Keene Mill Rd, Springfield, VA 22150",703-923-2900,Christine M Slattery,PK-6,Fairfax County Public Schools
Gar-Field High,"14000 Smoketown Rd, Woodbridge, VA 22192",703-730-7000,Dr. Cherif Sadki,9-12,Prince William County Public Schools
Garland R. Quarles Elementary,"1310 S Loudoun St, Winchester, VA 22601",540-662-3575,Joan Hovatter,PK-4,Winchester Public Schools
Garrisonville Elementary,"100 Wood Dr, Stafford, VA 22556",540-658-6260,Ms. Alexis M. White,PK-5,Stafford County Public Schools
Gate City High,"178 Harry Fry Dr., Gate City, VA 24251",276-386-7522,Mr. William Gregory Ervin,10-12,Scott County Public Schools
Gate City Middle,"170 Harry Fry Drive, Gate City, VA 24251",276-386-6065,Mrs. Cynthia Dorton,7-9,Scott County Public Schools
Gates - Alternative High School Program,"8020 River Stone Drive, Fredericksburg, VA 22407",540-582-6831,Mr. William A. Ball Jr.,,Spotsylvania County Public Schools
Gateway Academy,"7409 Brock Road, Spotsylvania, VA 22553",540-582-3498, ,,Spotsylvania County Public Schools
Gatewood Academy,"1241 Gatewood Rd., Newport News, VA 23601",757-591-4963,Ms. Heather Jankovich,PK,Newport News Public Schools
Gayton Elementary,"12481 Church Rd, Richmond, VA 23233",804-360-0820,Mrs. Peggy C. Wingfield,PK-5,Henrico County Public Schools
General Academic Development,"201 E. Nine Mile Road, Highland Springs, VA 23075",804-652-3717, ,,Henrico County Public Schools
General Stanford Elementary,"929 Madison Ave., Ft. Eustis, VA 23604",757-888-3200,Ms. Diane Willis,PK-5,Newport News Public Schools
Generating Recovery of Academic Direction,"2915 Williamsburg Road, Henrico, VA 23231",804-555-1212, ,,Henrico County Public Schools
George Carr Round Elementary,"10100 Hastings Dr, Manassas, VA 20110-6092",571-377-6400,Ms. Kara Mills,PK-4,Manassas Public Schools
George F. Baker Elementary,"6651 Willson Rd, Richmond, VA 23231",804-226-8755,Dr. Beverly B. Allen-Hardy,PK-5,Henrico County Public Schools
George G. Tyler Elementary,"14500 John Marshall Hwy, Gainesville, VA 20155",703-754-7181,Ms. Jennifer Perilla,PK-5,Prince William County Public Schools
George H. Moody Middle,"7800 Woodman Rd, Richmond, VA 23228",804-261-5015,Mr. Paul E. Llewellyn,6-8,Henrico County Public Schools
George J. McIntosh Elementary,"185 Richneck Rd, Newport News, VA 23608",757-886-7767,Ms. Ethel Francis,PK-5,Newport News Public Schools
George Mason Elementary,"2601 Cameron Mills Rd, Alexandria, VA 22302",703-706-4470,Kevin West,KG-5,Alexandria Public Schools
George Mason Elementary,"813 N 28th St, Richmond, VA 23223-6699",804-780-4401,Sandra Bynum,PK-5,Richmond Public Schools
George Mason High,"7124 Leesburg Pike, Falls Church, VA 22043",703-248-5500,Mr. Tyrone Byrd,9-12,Falls Church Public Schools
George P. Mullen Elementary,"8000 Rodes Dr, Manassas, VA 20109",703-330-0427,Ms. Kathy Notyce,PK-5,Prince William County Public Schools
George P. Phenix Elementary,"1061 Big Bethel Road, Hampton, VA 23666",757-268-3500,Ms. Anita M. Owens,PK-8,Hampton Public Schools
George W. Carver Elementary,"1110 W Leigh St, Richmond, VA 23220-3199",804-780-6247,Mrs. Kiwana Yates,PK-5,Richmond Public Schools
George W. Carver Intermediate,"2601 Broad St, Chesapeake, VA 23324",757-494-7505,Mrs. Angela L. Isbell,PK-5,Chesapeake Public Schools
George W. Watkins Elementary,"6501 New Kent Hwy, Quinton, VA 23141",804-966-9660,Mr. Russ Macomber,PK-5,New Kent County Public Schools
George Washington 2 Middle,"1005 Mt. Vernon Avenue, Alexandria, VA 22301",703-706-4500,Pierrette Hall,6-8,Alexandria Public Schools
George Washington High,"701 Broad St, Danville, VA 24541",434-799-6410,Mr. Withers Jackson,9-12,Danville Public Schools
George Washington Middle,"1005 Mt Vernon Ave, Alexandria, VA 22301",703-706-4500,Gregory Tardieu,6-8,Alexandria Public Schools
George Wythe High,"4314 Crutchfield St, Richmond, VA 23225-4767",804-780-5037,Ms. Reva Green Jr.,9-12,Richmond Public Schools
George Wythe High,"1 Maroon Way, Wytheville, VA 24382",276-228-3157,Mr. Richard W. Skeens Jr.,9-12,Wythe County Public Schools
Georgetown Primary,"436 Providence Rd, Chesapeake, VA 23325",757-578-7060,Mrs. Terry A. Reitz,PK-3,Chesapeake Public Schools
Gereau Center for Applied Technology & Career Exploration,"150 Technology Dr, Rocky Mount, VA 24151",540-483-5446,Matthew J. Brain,8,Franklin County Public Schools
Ghent K-8,"200 Shirley Ave, Norfolk, VA 23517",757-628-2565,Dr. Thomas McAnulty,KG-8,Norfolk Public Schools
Gilbert Linkous Elementary,"813 Toms Creek Rd, Blacksburg, VA 24060",540-951-5726,Mrs. Carol P. Kahler,KG-5,Montgomery County Public Schools
Giles County Tech. Center,"1827 Wenonah Avenue, Pearisburg, VA 24134",540-921-1166, ,,Giles County Public Schools
Giles High,"1825 Wenonah Avenue, Pearisburg, VA 24134",540-921-1711,Mr. Jason D Mills,8-12,Giles County Public Schools
Ginter Park Elementary,"3817 Chamberlayne Ave, Richmond, VA 23227-4196",804-780-8193,Ms. Indira Williams,PK-5,Richmond Public Schools
Givens Elementary,"8153 Swords Creek Rd., Swords Creek, VA 24649",276-991-0001,Mrs. Rebecca T Dye,PK-2,Russell County Public Schools
Glade Hill Elementary,"8081 Old Franklin Trnpk, Glade Hill, VA 24092-3854",540-576-3010,Mrs. Kimberly Poindexter,PK-5,Franklin County Public Schools
Glade Spring Middle,"33474 Stage Coach Rd, Glade Spring, VA 24340",276-739-3800,Mr. Kelly Holmes,6-8,Washington County Public Schools
Gladesboro Elementary School,"7845 Snake Creek, Hillsville, VA 24343",276-398-2493,Mrs. Samantha S Reed,PK-5,Carroll County Public Schools
Gladeville Elementary School,"3117 Glendale Rd, Galax, VA 24333",276-236-5449,Mrs. Mary Jane Carico,PK-5,Carroll County Public Schools
Glasgow Middle,"4101 Fairfax Pkwy, Alexandria, VA 22312",703-813-8700,Ms. Penny M. Gros,6-8,Fairfax County Public Schools
Glebe Elementary,"1770 N. Glebe Road, Arlington, VA 22207",703-228-6280,Ms. Jamie Borg,PK-5,Arlington County Public Schools
Glen Allen Elementary,"11101 Mill Rd, Glen Allen, VA 23060",804-756-3040,Ms. Melissa R. Halquist-Pruden,PK-5,Henrico County Public Schools
Glen Allen High,"10700 Staples Mill Road, Glen Allen, VA 23060",804-501-3300,Mrs. Tracie A. Weston,9-12,Henrico County Public Schools
Glen Cove Elementary,"5901 Cove Rd, Roanoke, VA 24019",540-561-8135,Dr. Jan Nichols,PK-5,Roanoke County Public Schools
Glen Forest Elementary,"5829 Glen Forest Dr, Falls Church, VA 22041",703-578-8000,Ms. Cynthia F. Choate,PK-5,Fairfax County Public Schools
Glen Lea Elementary,"3909 Austin Ave, Richmond, VA 23222",804-228-2725,Ms. Kimberly D. Lee,PK-5,Henrico County Public Schools
Glenkirk Elementary,"8584 Sedge Wren Drive, Gainesville, VA 20155",703-753-1702,Lisa Gilkerson,PK-5,Prince William County Public Schools
Glenvar Elementary,"4507 Malus Dr, Salem, VA 24153",540-387-6540,Mr. Danny Guard,PK-5,Roanoke County Public Schools
Glenvar High,"4549 Malus Dr, Salem, VA 24153",540-387-6536,Mr. Joe Hafey,9-12,Roanoke County Public Schools
Glenvar Middle,"4555 Malus Dr, Salem, VA 24153",540-387-6322,Mr. Jamie Soltis,6-8,Roanoke County Public Schools
Glenwood Elementary,"2213 Round Hill Dr, Virginia Beach, VA 23464",757-648-2520,Ms. Susan W. Stuhlman,PK-5,Virginia Beach Public Schools
Gloucester High,"6680 Short Lane, Gloucester, VA 23061-9291",804-693-2526,Dr. Layton (Tony) H Beverage,9-12,Gloucester County Public Schools
Goochland Elementary,"3150 River Road West, Goochland, VA 23063",804-556-5321,Tina McCay,PK-5,Goochland County Public Schools
Goochland High,"3250A River Road West, Goochland, VA 23063",804-556-5322,Mr. Mike Newman,9-12,Goochland County Public Schools
Goochland Middle,"3250B River Road West, Goochland, VA 23063",804-556-5320,Jennifer M. Smith,6-8,Goochland County Public Schools
Goodview Elementary,"1374 Rivermont Academy Rd, Goodview, VA 24095",540-892-5674,Mr. Edwin L. Zimmerman,PK-5,Bedford County Public Schools
